Biwi;1
Bwalo I;2
Bwalo II;3
Bwatha;4
Chagamba;5
Chakale;6
Chalasa;7
Chaonya;8
Chidalanda;9
Chikamba;10
Chikolokoto;11
Chimphepo-Chalasa;12
Chisomba;13
Chitawa;14
Chitululu;15
Chiyendanchiwanda;16
Chizele;17
Chizumba;18
Chule I;19
Chule II;20
Dongolosi;21
Fainda;22
Kabwabwa;23
Kacheche;24
Kadzinkambani;25
Kafutwe;26
Kalulu;27
Kamadzi;28
Kambila;29
Kambulire II;30
Kamphinga;31
Kaningâ€™a;32
Kanyoza;33
Kapzyoko;34
Kumtseche;35
Kupeta;36
Kuthengo;37
Malenga;38
Mankhwazi;39
Maole;40
Maselelo;41
Masumba;42
Matchakaza;43
Maunda;44
Mazira;45
Mbalame;46
Mbewa;47
Mbulachisa;48
Mchazime;49
Mchena;50
Mdzoole;51
Mfuti;52
Mgwadula;53
